"","Species","Taxonomic_Authority","Common_Names","French_Name","Common_Family","OMNR_Code","Family_TSN","Parent_TSN","Species_TSN","Global_Rank_GRank","National_Rank_NRank","Provincial_Rank_SRank","COSEWIC_Status","SARO_Status","AFS_Status","Status_Notes","Ontario_Origin","General_Abundance","Tolerance","Economic_Importance","General_Habitats","Environment","Trophic_Class","Thermal_Regime","Habitat_Preference","Reproductive_Guild","Spawning_Habitats","Spawning_Season","Spawning_Months","Spawning_Temperature_Celsius","Fecundity","Nursery_Habitats","Adult_Length_cm","Adult_Weight_kg","Age_at_Maturity_yrs","Maximum_Length_cm","Maximum_Weight_kg","Lifespan_yrs","Species_TSN2","class_itis","order_itis","family_itis","genus_itis","species_itis"
"1","Ichthyomyzon castaneus","Girard, 1858","Chestnut Lamprey","lamproie brune","lampreys","016","159697","159723","159725","G4 (2016-04-17)","NU (2017-12-27)","SU1, S1?2 (2018-03-28)","Data Deficient (Nov 2010)","Data Deficient","none","<Sup>(1)</Sup> Great Lakes-Upper St. Lawrence populations; <Sup>(2)</Sup> Saskatchewan-Nelson River populations","native","rare","intermediate","none","lacustrine; riverine","benthic","herbivore (carnivore)","coolwater","large creeks and main channels of small- to medium-sized rivers; ammocoetes inhabit sand- and silt-bottomed pools and backwaters","Nonguarders: Brood hiders: Lithophils","riverine","spring","May-June","16-22","10,144-42,000","riverine","17.8-31.0 TL","0.01-0.06","5-7","38.0 TL","no data","7-9","159725","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Ichthyomyzon","Ichthyomyzon castaneus"
"2","Ichthyomyzon fossor","Reighard & Cummins, 1916","Northern Brook Lamprey","lamproie du nord","lampreys","012","159697","159723","159726","G4 (2012-02-17)","N3 (2017-08-19)","S3 (2013-02-11)","Special Concern (Apr 2007)","Special Concern","none","none","native","uncommon","intolerant","none","riverine","benthic","herbivore","coolwater","adults in clean, clear riffles and runs of small rivers with gravel and sand substrates; ammocoetes occupy quiet water with sand, silt and detritus substrates","Nonguarders: Brood hiders: Lithophils","riverine","spring","May-June","13-19","780-1,979","riverine","8.6-16.6 TL","0.001-0.008","4-7","25.4 TL","0.01","5-8","159726","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Ichthyomyzon","Ichthyomyzon fossor"
"3","Ichthyomyzon unicuspis","Hubbs & Trautman, 1937","Silver Lamprey","lamproie argentée","lampreys","013","159697","159723","159730","G5 (2012-02-20)","N3 (2017-08-19)","S31 (2011-12-05), S12 (2018-03-28)","Special Concern1, Data Deficient2 (May 2011)","Special Concern1, Data Deficient2","none","(1) Great Lakes-Upper St. Lawrence populations; (2) Saskatchewan-Nelson River populations","native","uncommon","intermediate","none","lacustrine; riverine","benthopelagic","herbivore/detritivore (carnivore)","coolwater","feeding adults found attached to other fish in large rivers, lakes and impoundments; ammocoetes inhabit sandy or muddy pools and backwaters","Nonguarders: Brood hiders: Lithophils","riverine","spring","May-June","13-18","10,800-65,000","riverine","15.7-32.8 TL","0.01-0.07","4-7","39.2 TL","0.133","5-8","159730","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Ichthyomyzon","Ichthyomyzon unicuspis"
"4","Lethenteron appendix","(DeKay, 1842)","American Brook Lamprey","lamproie de l'est","lampreys","011","159697","159700","159708","G4 (2012-02-21)","N3N4 (2017-08-19)","S3 (1988-11-22)","none","none","none","none","native","uncommon","intolerant","none","riverine","benthic","herbivore","coldwater","adults in gravel/sand riffles and runs of creeks and small- to medium-sized rivers with strong flow and clear waters; ammocoetes in sandy or silty pools; preferred water temperature range 9-12°C","Nonguarders: Brood hiders: Lithophils","riverine","spring","April-May","9-15.5","860-5,185","riverine","13.5-20.8 TL","0.003-0.012","4-5","31.7 TL","0.078","5-6","914061","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Lethenteron","Lethenteron appendix"
"5","Petromyzon marinus","Linnaeus, 1758","Sea Lamprey","lamproie marine","lampreys","014","159697","159721","159722","G5 (2016-05-10)","N5B, N5N, N5M (2017-12-27)","SNA (1988-11-22)","none","none","none","none","native/introduced","common","intermediate","invasive species","lacustrine; marine1","benthopelagic","herbivore/detritivore (carnivore)","coolwater","feeding adults in open waters of lakes and large rivers; ammocoetes inhabit flowing areas of streams, burrowing in sandy silt substrates; preferred water temperature range 6-15°C","Nonguarders: Brood hiders: Lithophils","riverine","spring","May-June","11-24","13,974-107,138","riverine","30.2-58.1 TL","0.07-0.37","3-7","120 TL","2.3","5-9","159722","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Petromyzon","Petromyzon marinus"
"6","Acipenser fulvescens","Rafinesque, 1817","Lake Sturgeon","esturgeon jaune","sturgeons","031","161064","161065","161071","G3G4 (2008-02-05)","N3 (2017-12-28)","S21, S22, S33 (2009-10-22)","Threatened1, Endangered2, SC3 (April 2017)","Threatened1, Endangered2, Special Concern3","Vulnerable (1,2)","(1) Great Lakes-Upper St. Lawrence populations; (2) Saskatchewan-Nelson River populations; (3) Southern Hudson Bay-James Bay populations","native","uncommon","intermediate","commercial fishery (historical)","lacustrine; riverine","benthic","invertivore/herbivore","coolwater","bottoms of lakes and large rivers, usually 5 to 10 m deep, over clay, mud, sand and gravel; preferred water temperature range 15-17°C","Nonguarders: Open substratum spawners: Litho-pelagophils","lacustrine; riverine","spring","May-June","11-18","48,420-885,360","lacustrine; riverine","76.2-142.5 TL","2.5-20.1","12-20 (m); 14-33 (f)","274.5 TL","140.6","50-60 (m); 80-155 (f)","161071","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser fulvescens"
"7","Polyodon spathula","(Walbaum, 1792)","Paddlefish","spatulaire","paddlefishes","021","161086","161087","161088","G4 (2012-08-07)","NX (2016-02-10)","SX (1988-11-22)","Extirpated (Apr 2008)","Extirpated","Vulnerable (1,2)","none","native","extirpated","intolerant","none","lacustrine; riverine","pelagic","invertivore/planktivore","warmwater","quiet, slow-flowing, often silty, open waters of large rivers and floodplain lakes","Nonguarders: Open substratum spawners: Litho-pelagophils","riverine","spring","April-June","12-18","82,300-608,650","riverine","89.0-150.5 TL","2.5-15.6","7-10 (m); 14-17 (f)","223.5 TL","83.5","16 (m); 26 (f)","161088","Chondrostei","Acipenseriformes","Polyodontidae","Polyodon","Polyodon spathula"
"8","Lepisosteus oculatus","Winchell, 1864","Spotted Gar","lépisosté tacheté","gars","042","161092","161093","161095","G5 (2012-02-29)","N1 (2017-11-01)","S1 (2000-12-18)","Endangered (Nov 2015)","Endangered","none","none","native","rare","intermediate","none","lacustrine; riverine","benthopelagic","carnivore","warmwater","warm, shallow (<5 m) waters of quiet bays and backwater areas of lakes, and slow-flowing rivers, with dense aquatic vegetation and substrates of clay, silt and organics; preferred water temperature >26°C","Nonguarders: Open substratum spawners: Phytophils","lacustrine","spring","May-June","21-26","1,773-13,798","lacustrine","40.6-73.7 TL","0.25-1.6","2-3 (m); 3-4 (f)","111.8 TL","4.4","8-11 (m); 10-18 (f)","161095","Holostei","Lepisosteiformes","Lepisosteidae","Lepisosteus","Lepisosteus oculatus"
"9","Lepisosteus osseus","(Linnaeus, 1758)","Longnose Gar","lépisosté osseux","gars","041","161092","161093","161094","G5 (2016-02-09)","N4N5 (2016-02-09)","S4 (1988-11-22)","none","none","none","none","native","common","tolerant","sport fish","lacustrine; riverine","benthopelagic","carnivore","warmwater","vegetated, sluggish pools, backwaters and oxbows of medium to large rivers and weedy, quiet shallows of warm lakes with silty, sandy substrates; often near logs and brushpiles; preferred water temperature 33.1°C","Nonguarders: Open substratum spawners: Phyto-lithophils","lacustrine","spring","May-June","16.5-21","1,110-77,156","lacustrine","66.0-121.9 TL","0.8-6.8","3-4 (m); 4-6 (f)","200 TL","37.19","9-17 (m); 16-22 (f)","161094","Holostei","Lepisosteiformes","Lepisosteidae","Lepisosteus","Lepisosteus osseus"
"10","Amia calva","Linnaeus, 1766","Bowfin","poisson-castor","bowfins","051","161102","161103","161104","G5 (2016-02-09)","N4N5 (2016-02-09)","S4 (1988-11-22)","none","none","none","none","native","common","intermediate","coarse fish","lacustrine; riverine","benthopelagic","carnivore","warmwater","warm, weedy lake embayments and sluggish pools and backwaters of lowland rivers; preferred water temperature range 28-32°C","Guarders: Nest spawners: Phytophils","lacustrine","spring","May-June","16-19","2,765-98,737","lacustrine","38.1-68.6 TL","0.6-3.3","3-4 (m); 4-5 (f)","109 TL","9.87","6 (m); 10-12 (f)","161104","Holostei","Amiiformes","Amiidae","Amia","Amia calva"
"11","Hiodon alosoides","(Rafinesque, 1819)","Goldeye","laquaiche aux yeux d'or","mooneyes","151","161903","161904","161905","G5 (2017-12-21)","N5 (2017-12-21)","S3 (1988-10-31)","none","none","none","none","native","limited distribution","intolerant","commercial fishery","lacustrine; riverine","pelagic","invertivore","coolwater","deep pools and calm backwaters in large turbid rivers and muddy shallows of clear lakes; often forages in swift currents; optimum water temperature range 27-29°C","Nonguarders: Open substratum spawners: Pelagophils","riverine","spring","May-June","10-13","4,288-25,238","lacustrine; riverine","25.9-40.6 TL","0.21-0.77","3-6 (m); 4-7 (f)","52.0 FL","1.88","10-14 (m); 12-17 (f)","161905","Teleostei","Osteoglossiformes","Hiodontidae","Hiodon","Hiodon alosoides"
"12","Hiodon tergisus","Lesueur, 1818","Mooneye","laquaiche argentée","mooneyes","152","161903","161904","161906","G5 (2015-08-18)","N5 (2017-12-22)","S4 (1997-10-10)","none","none","none","none","native","common","intolerant","none","lacustrine; riverine","pelagic","invertivore","coolwater","swift currents, clear, deep pools and backwaters of medium to large rivers and lakes at depths of <11 m; preferred water temperature range 27-29°C","Nonguarders: Open substratum spawners: Litho-pelagophils","riverine","spring","April-June","10-15","3,000-20,000","lacustrine; riverine","22.8-36.8 TL","0.10-0.46","3 (m); 4-5 (f)","44.5 TL","1.1","8-11","161906","Teleostei","Osteoglossiformes","Hiodontidae","Hiodon","Hiodon tergisus"
"13","Anguilla rostrata","(Lesueur, 1817)","American Eel","anguille d'Amérique","freshwater eels","251","161125","161126","161127","G4 (2011-10-20)","N2N4N, N2N4M (2017-10-31)","S1? (2008-05-15)","Threatened (May 2012)","Endangered","none","none","native/introduced","rare","intermediate","commercial fishery (historical)","lacustrine; riverine","benthic","invertivore/carnivore","coolwater","near cover over muddy bottoms in lakes, ponds, rivers and creeks at depths <15 m; preferred water temperature range 16-19°C","Nonguarders: Open substratum spawners: Litho-pelagophils","marine","winter","February-March","17","3,400,000-22,000,000","riverine; estuarine; marine","22.8-39.8 TL (m); 53.2-111 TL","0.02-0.13 (m); 0.26-3.34 (f)","5-15 (m); 12-23 (f)","61 TL (m); 152 TL (f)","7.33","6-16 (m); 13-24 (f)","161127","Teleostei","Anguilliformes","Anguillidae","Anguilla","Anguilla rostrata"
"14","Alosa pseudoharengus","(Wilson, 1811)","Alewife","gaspereau","herrings","061","161700","161701","161706","G5 (2016-02-09)","N5B, N5N, N5M (2017-12-28)","SNA (1988-11-22)","none","none","none","none","introduced","common","intermediate","forage fish","lacustrine; marine1","pelagic","planktivore","coldwater","open, waters (16-28 m) to a depth of 50 m (summer) or 90 m (winter); preferred water temperature range 16-21°C","Nonguarders: Open substratum spawners: Phyto-lithophils","lacustrine; riverine1","summer","June-August","13-21","2,180-22,407","lacustrine; riverine1","13.2-21.6 TL","0.023-0.065","1-2 (m); 2-3 (f)","38.1 TL","0.4415","5-8","161706","Teleostei","Clupeiformes","Clupeidae","Alosa","Alosa pseudoharengus"
"15","Alosa sapidissima","(Wilson, 1811)","American Shad","alose savoureuse","herrings","062","161700","161701","161702","G5 (2017-12-27)"," N5B, N4N5N, N5M (2017-12-27)","S1 (2009-02-03)","none","none","none","none","native/introduced","rare","intermediate","none","marine","pelagic","planktivore","coolwater","open waters; preferred water temperature range 13-18°C","Nonguarders: Open substratum spawners: Pelagophils","riverine","spring","May-June","12-21","58,534-390,633","riverine; estuarine","35.5-55.6 TL","0.5-1.8","3-5 (m); 4-6 (f)","76.2 TL","6.80","8-13","161702","Teleostei","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima"
"16","Dorosoma cepedianum","(Lesueur, 1818)","Gizzard Shad","alose à gésier","herrings","063","161700","161736","161737","G5 (2016-02-09)","N4N5 (2016-02-09)","S4 (1988-11-22)","none","none","none","none","native/introduced","common","tolerant","forage fish","lacustrine; riverine","pelagic","herbivore","coolwater","open surface waters (<33 m) of medium to large rivers, lakes and impoundments over mud bottom; often ascends creeks and small rivers with well-developed pools; preferred water temperature range 19-23°C","Nonguarders: Open substratum spawners: Litho-pelagophils","lacustrine; riverine","summer","June-July","17-23","22,404-543,912","lacustrine; riverine","21.6-40.6 TL","0.11-0.78","2-3","52.1 TL","2.15","6-10","161737","Teleostei","Clupeiformes","Clupeidae","Dorosoma","Dorosoma cepedianum"
"17","Campostoma anomalum","(Rafinesque, 1820)","Central Stoneroller","roule-caillou","carps and minnows","216","163342","163507","163508","G5 (2011-11-24)","N4 (2017-12-22)","S4 (2003-11-10)","Not at Risk (Apr 1998)","Not at Risk","none","none","native/introduced","uncommon","intermediate","bait fish","riverine","benthic","herbivore","coolwater","pool/riffle/run habitats of small to medium-sized streams with gravel, cobble, rubble and sand substrates; rare in lakes and large rivers; preferred water temperature range 19-27°C","Nonguarders: Brood hiders: Lithophils","riverine","spring","May-June","14-24","150-4,801","riverine","8.3-16.5 TL","0.005-0.045","2-3","28.7 TL","0.277","4-6","163508","Teleostei","Cypriniformes","Cyprinidae","Campostoma","Campostoma anomalum"
"18","Carassius auratus","(Linnaeus, 1758)","Goldfish","carassin","carps and minnows","181","163342","163349","163350","G5 (1996-09-13)","NNA (2017-12-22)","SNA (1988-11-22)","none","none","none","none","introduced","common","tolerant","invasive species","lacustrine; riverine","benthopelagic","invertivore/herbivore","warmwater","shallow, pools and backwaters of sluggish rivers, ponds and lakes with dense aquatic vegetation; preferred water temperature 27.9°C","Nonguarders: Open substratum spawners: Phytophils","lacustrine; riverine","spring-summer","May-July","16-25","300-403,000","lacustrine; riverine","21.0-40.6 TL","0.26-1.16","2-3 (m); 3-4 (f)","58.4 TL","4.25","6-7","163350","Teleostei","Cypriniformes","Cyprinidae","Carassius","Carassius auratus"
"19","Chrosomus eos","Cope, 1862","Northern Redbelly Dace","méné ventre-rouge","carps and minnows","182","163342","163590","163592","G5 (2015-08-17)","N5 (2017-12-22)","S5 (2009-03-23)","none","none","none","none","native","common","intermediate","forage fish; bait fish","lacustrine; riverine","benthopelagic","invertivore/planktivore","coolwater","lakes, bogs, ponds and pools of creeks with organic substrates and aquatic vegetation; usually stained water; preferred water temperature 25.3°C","Nonguarders: Open substratum spawners: Phytophils","lacustrine; riverine","spring-summer","May-July","13-21","435-6,450","lacustrine; riverine","3.1-6.8 TL","0.0003-0.0027","1 (m); 2 (f)","8.0 TL","no data","3-7","913993","Teleostei","Cypriniformes","Cyprinidae","Chrosomus","Chrosomus eos"
"20","Chrosomus neogaeus","(Cope, 1867)","Finescale Dace","méné ventre-citron","carps and minnows","183","163342","163590","163594","G5 (2016-05-10)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","forage fish; bait fish","lacustrine; riverine","benthopelagic","invertivore/planktivore","coolwater","lakes, bogs, ponds and sluggish pools of creeks and small rivers with silty substrates and aquatic vegetation; usually stained water; preferred water temperature 24.1°C","Nonguarders: Open substratum spawners: Phyto-lithophils","lacustrine; riverine","spring","April-May","11-18","250-5,850","lacustrine; riverine","5.0-8.3 TL","0.001-0.005","2","10.7 TL","no data","4-8","913995","Teleostei","Cypriniformes","Cyprinidae","Chrosomus","Chrosomus neogaeus"
"21","Clinostomus elongatus","(Kirtland, 1841)","Redside Dace","méné long","carps and minnows","184","163342","163370","163373","G3G4 (2011-11-04)","N2 (2017-12-21)","S2 (2007-03-30)","Endangered (Nov 2017)","Endangered","Vulnerable (1,4)","none","native","rare","intolerant","none","riverine","benthopelagic","invertivore","coolwater","pools and slow-moving sections of relatively small (<10 m width), clear, cool, streams with sand or gravel bottoms , riffle/pool habitat and overhanging vegetation; preferred water temperature range 14-23°C","Nonguarders: Brood Hiders: Lithophils","riverine","spring","May-June","16-19","409-1,971","riverine","6.4-9.7 TL","0.003-0.007","2-3","11.8 TL","0.0101","3-5","163373","Teleostei","Cypriniformes","Cyprinidae","Clinostomus","Clinostomus elongatus"
"22","Couesius plumbeus","(Agassiz, 1850)","Lake Chub","mulet de lac","carps and minnows","185","163342","163534","163535","G5 (2015-08-17)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","forage fish; bait fish","lacustrine; riverine","benthopelagic","invertivore/planktivore","coldwater","open waters of lakes, lake margins and gravel-bottomed pools and runs of creeks and rivers; moves to deeper waters in the summer; preferred water temperature <27°C","Nonguarders: Open substratum spawners: Litho-pelagophils","riverine","spring","April-June","10-19","214-11,440","lacustrine; riverine","12.7-18.3 TL","0.018-0.057","3-4","22.7 TL","no data","5-10","163535","Teleostei","Cypriniformes","Cyprinidae","Couesius","Couesius plumbeus"
"23","Ctenopharyngodon idella","(Valenciennes, 1844)","Grass Carp","carpe de roseau","carps and minnows","219","163342","163536","163537","G5 (1996-09-13)","NNA (2017-12-22)","SNA (1997-10-02)","none","none","none","none","introduced","rare","tolerant","invasive species","lacustrine; riverine","benthic","herbivore","warmwater","lakes, ponds, pools, reservoirs and backwaters of large rivers at depths of 1-3 m; preferred water temperature 25.3°C","Nonguarders: Open substratum spawners: Pelagophils","riverine","spring","May-June","18-24","255,000-1,276,000","riverine","51-86 TL","1.5-6.8","4-5","145 TL","40.50","11-21","163537","Teleostei","Cypriniformes","Cyprinidae","Ctenopharyngodon","Ctenopharyngodon idella"
"24","Cyprinella spiloptera","(Cope, 1867)","Spotfin Shiner","méné bleu","carps and minnows","203","163342","163765","163803","G5 (2015-08-17)","N4N5 (2017-12-22)","S4 (1988-11-22)","none","none","none","none","native/introduced","common","intermediate","forage fish; bait fish (occasional)","riverine","benthopelagic","invertivore/herbivore","warmwater","sand and gravel runs and pools of creeks and small to medium rivers with moderate gradient; occasionally lake shallows; preferred water temperature 29.5°C","Nonguarders: Brood hiders: Speleophils","riverine","summer","June-August","21-24","207-1,580","riverine","5.1-10.2 TL","0.001-0.008","1-2","12.2 TL","0.0108","4-5","163803","Teleostei","Cypriniformes","Cyprinidae","Cyprinella","Cyprinella spiloptera"
"25","Cyprinus carpio","Linnaeus, 1758","Common Carp","carpe","carps and minnows","186","163342","163343","163344","G5 (1996-09-13)","NNA (2017-12-22)","SNA (1988-11-22)","none","none","none","none","introduced","common","tolerant","coarse fish; commercial fishery","lacustrine; riverine","benthopelagic","invertivore/detritivore","warmwater","pools of small to large low gradient rivers, lakes, reservoirs and ponds, with abundant aquatic vegetation, at depths of <30 m; preferred water temperature range 28-32°C","Nonguarders: Open substratum spawners: Phyto-lithophils","lacustrine; riverine","spring-summer","May-August","17-26","36,000-2,208,000","lacustrine; riverine","35.3-76.2 TL","0.6-6.0","2-4 (m); 3-5 (f)","129 TL","46.10","9-20","163344","Teleostei","Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio"
"26","Erimystax x-punctatus","(Hubbs & Crowe, 1956)","Gravel Chub","gravelier","carps and minnows","187","163342","163819","163824","G4 (2011-12-01)","NX (2017-12-22)","SX (2011-05-04)","Extirpated (Apr 2008)","Extirpated","none","none","native","extirpated","intolerant","none","riverine","benthic","invertivore","coolwater","gravel riffles and runs of clear to moderately turbid creeks and small to large rivers, with substrates free of unconsolidated silts and clays","Nonguarders: Open substratum spawners: Lithophils","riverine","spring","April-June","16-19","150-525","riverine","6.4-9.7 TL","0.004-0.0065","1-2","10.2 TL","0.015","3-4","163824","Teleostei","Cypriniformes","Cyprinidae","Erimystax","Erimystax x-punctatus"
"27","Exoglossum maxillingua","(Lesueur, 1817)","Cutlip Minnow","bec-de-lièvre","carps and minnows","188","163342","163355","163356","G5 (2012-01-27)","N4 (2017-12-22)","S1S2 (1997-10-06)","Special Concern (Nov 2013)","Threatened","none","none","native","rare","intolerant","none","riverine","benthic","invertivore","warmwater","pools and runs of warm, clear, gravelly creeks and small to medium rivers; often in quiet water near boulders","Guarders: Nest spawners: Lithophils","riverine","spring-summer","May-July","16-21.5","153-1,177","riverine","8.9-11.4 TL","0.010-0.022","2-3","20 TL","0.070","4-5","163356","Teleostei","Cypriniformes","Cyprinidae","Exoglossum","Exoglossum maxillingua"
"28","Hybognathus hankinsoni","Hubbs, 1929","Brassy Minnow","méné laiton","carps and minnows","189","163342","163358","163363","G5 (2015-08-17)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","forage fish; bait fish (occasional)","lacustrine; riverine","benthic","planktivore/detritivore","coolwater","pools of sluggish, clear creeks and small rivers with soft substrates, boggy lakes and shallow bays; often stained waters; usually associated with aquatic vegetation","Nonguarders: Open substratum spawners: Phytophils","lacustrine; riverine","spring-summer","May-July","16-27","120-2,500","lacustrine; riverine","6.2-8.5 TL","0.002-0.005","1-2","9.7 TL","0.010","3-5","163363","Teleostei","Cypriniformes","Cyprinidae","Hybognathus","Hybognathus hankinsoni"
"29","Hybognathus regius","Girard, 1856","Eastern Silvery Minnow","méné d'argent de l'est","carps and minnows","190","163342","163358","163359","G5 (2012-02-15)","N4 (2017-12-22)","S2 (1988-11-22)","Not at Risk (Apr 1997)","Not at Risk","none","none","native","limited distribution","intolerant","none","lacustrine; riverine","benthic","herbivore/detritivore","warmwater","pools and backwaters of low-gradient creeks and small to large rivers, and quiet, weedy inshore waters of lakes; frequently associated with soft substrates including mud, sand and silt","Nonguarders: Open substratum spawners: Phyto-lithophils","lacustrine; riverine","spring","April-May","13-20.5","2,000-6,600","lacustrine; riverine","7.6-12.7 TL","0.003-0.007","1-2","15.7 TL","no data","3","163359","Teleostei","Cypriniformes","Cyprinidae","Hybognathus","Hybognathus regius"
"30","Luxilus chrysocephalus","Rafinesque, 1820","Striped Shiner","méné rayé","carps and minnows","217","163342","163825","163832","G5 (2013-01-16)","N4 (2017-12-22)","S4 (2003-11-10)","Not at Risk (Apr 1993)","Not at Risk","none","none","native/introduced","common","intermediate","forage fish; bait fish","riverine","benthopelagic","invertivore","coolwater","pools near riffles in clear to fairly turbid, warm creeks and small- to medium-sized rivers with moderate current and gravel or cobble substrate, often associated with aquatic vegetation","Nonguarders: Brood hiders: Lithophils","riverine","spring-summer","May-July","15-27","900-1,150","riverine","7.6-17.8 TL","0.004-0.072","2","23.8 TL","no data","4-6","163832","Teleostei","Cypriniformes","Cyprinidae","Luxilus","Luxilus chrysocephalus"
"31","Luxilus cornutus","(Mitchill, 1817)","Common Shiner","méné à nageoires rouges","carps and minnows","198","163342","163825","163836","G5 (2015-08-18)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","forage fish; bait fish","riverine","benthopelagic","invertivore","coolwater","pools near riffles in clear, cool creeks and small to medium rivers, and nearshore in clear-water lakes; preferred water temperature 21.9°C","Nonguarders: Brood hiders: Lithophils","riverine","spring","May-June","16-26","400-3,940","riverine","7.1-15.2 TL","0.003-0.041","1-3","20.8 TL","no data","5-7","163836","Teleostei","Cypriniformes","Cyprinidae","Luxilus","Luxilus cornutus"
"32","Lythrurus umbratilis","(Girard, 1856)","Redfin Shiner","méné d'ombre","carps and minnows","205","163342","163846","163861","G5 (2016-02-09)","N4 (2016-02-09)","S4 (1988-11-22)","Not at Risk (Apr 1988)","Not at Risk","none","none","native","uncommon","intermediate","forage fish","riverine","benthopelagic","invertivore","coolwater","warm, clear to turbid, quiet to flowing pools of creeks and small to medium rivers with abundant aquatic vegetation and clean cobble, gavel or sand substrates; preferred water temperature 20.5°C","Nonguarders: Open substratum spawners: Lithophils","riverine","summer","June-August","21+","219-887","riverine","3.8-7.6 TL","0.002-0.006","1","9.0 TL","no data","2-3","163861","Teleostei","Cypriniformes","Cyprinidae","Lythrurus","Lythrurus umbratilis"
"33","Macrhybopsis storeriana","(Kirtland, 1845)","Silver Chub","méné à grandes écailles","carps and minnows","191","163342","163863","163870","G5 (2015-08-18)","N5 (2017-10-31)","S2 (1988-11-22)","Endangered1 (May 2012)","Threatened","none","(1) Great Lakes-Upper St. Lawrence populations","native","rare","intolerant","forage fish","lacustrine; riverine","benthic","planktivore/invertivore","coolwater","sandy pools and backwaters of small to large rivers, sandy, gravelly river mouths and silt-bottomed shallows (<20 m) of lakes","Nonguarders: Open substratum spawners: Litho-pelagophils","lacustrine; riverine","summer","June-July","19-23","2,603-12,311","lacustrine; riverine","10.2-17.9 TL","0.01-0.06","1-2","23.1 TL","0.17","3 (m); 4 (f)","163870","Teleostei","Cypriniformes","Cyprinidae","Macrhybopsis","Macrhybopsis storeriana"
"34","Margariscus nachtriebi","(Cox, 1896)","Northern Pearl Dace","mulet perlé du nord","carps and minnows","214","163342","163872","689434","G5 (2017-12-21)","N5 (2017-12-21)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","forage fish; bait fish","lacustrine; riverine","benthopelagic","invertivore/carnivore","coolwater","pools of cool, clear headwater streams, bogs, ponds and small lakes with silt, sand or gravel bottoms, close to aquatic vegetation; preferred water temperature 16.2°C","Nonguarders: Open substratum spawners: Lithophils","lacustrine; riverine","spring","May-June","12-18","621-4,240","lacustrine; riverine","6.5-12.0 TL","0.002-0.015","1 (m); 2 (f)","16.5 FL","0.025","3 (m); 4 (f)","689434","Teleostei","Cypriniformes","Cyprinidae","Margariscus","Margariscus nachtriebi"
"35","Nocomis biguttatus","(Kirtland, 1841)","Hornyhead Chub","tête à taches rouges","carps and minnows","192","163342","163391","163395","G5 (2015-08-18)","N4N5 (2017-12-27)","S4 (1988-11-22)","Not at Risk (Apr 1988)","Not at Risk","none","none","native/introduced","common","intermediate","bait fish","riverine","benthopelagic","invertivore/herbivore","coolwater","pools and runs of clear, slow-flowing, gravelly small- to medium-sized streams, often tributary to larger rivers","Nonguarders: Brood hiders: Lithophils","riverine","spring-summer","May-July","16-26","460-995","riverine","9.4-16.7 TL","0.01-0.06","2-3","25.9 TL","0.18","4","163395","Teleostei","Cypriniformes","Cyprinidae","Nocomis","Nocomis biguttatus"
"36","Nocomis micropogon","(Cope, 1865)","River Chub","méné bâton","carps and minnows","193","163342","163391","163392","G5 (2016-02-09)","N4 (2016-02-09)","S4 (1988-11-22)","Not at Risk (Apr 1988)","Not at Risk","none","none","native/introduced","common","intermediate","bait fish","riverine","benthopelagic","planktivore/invertivore","coolwater","swift currents and pools in medium sized creeks and rivers of high to moderate gradients with clean clear water and gravel to boulder substrates; preferred water temperature 21.7°C","Nonguarders: Brood hiders: Lithophils","riverine","spring","May-June","15-20.5","400-725","riverine","9.4-21.6  TL","0.01-0.14","2-3 (m); 3 (f)","32 TL","0.28","4-5","163392","Teleostei","Cypriniformes","Cyprinidae","Nocomis","Nocomis micropogon"
"37","Notemigonus crysoleucas","(Mitchill, 1814)","Golden Shiner","méné jaune","carps and minnows","194","163342","163367","163368","G5 (2015-08-18)","N5 (2017-12-22)","S5 (1997-10-06)","none","none","none","none","native","common","intermediate","forage fish; bait fish","lacustrine","benthopelagic","invertivore/herbivore","coolwater","clear, weedy, quiet waters of lakes, ponds, reservoirs and pools of small to large rivers with muddy substrate; preferred water temperature range 17-24°C","Nonguarders: Open substratum spawners: Phytophils","lacustrine","summer","June-August","20-27","2,680-4,670","lacustrine","10.2-17.8 TL","0.009-0.049","2-3","30.5 TL","0.68","5-8","163368","Teleostei","Cypriniformes","Cyprinidae","Notemigonus","Notemigonus crysoleucas"
